Formatted Date,Consensus,Combined_Score,Season,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars)
2009-01-25 10:00:00+00:00,Both Anomaly,0.9346557425095283,Winter,1.1111111111111112,-3.95,0.0,20.93,350.0,0.161,1000.1
2012-03-06 22:00:00+00:00,Both Anomaly,0.6827314540587239,Spring,-2.7777777777777777,-7.716666666666667,0.5,14.49,50.0,0.0,1030.4
2009-07-12 16:00:00+00:00,LOF Only,0.6810413998543405,Summer,25.0,25.0,0.32,14.49,320.0,4.025,1013.4
2012-02-03 07:00:00+00:00,Both Anomaly,0.6517271180529387,Winter,-12.22222222222222,-21.14444444444445,0.0,22.540000000000003,20.0,11.27,1029.7
2012-02-03 05:00:00+00:00,Both Anomaly,0.6279893888211634,Winter,-12.22222222222222,-20.82777777777778,0.0,20.93,30.0,9.982,1029.4
2015-09-03 16:00:00+00:00,Both Anomaly,0.6196250156579663,Autumn,28.838888888888885,29.02777777777778,0.46,4.6046000000000005,350.0,0.0,1016.55
2007-03-19 10:00:00+00:00,Both Anomaly,0.6191896055052268,Spring,15.0,15.0,0.46,11.27,150.0,0.0,994.7
2011-05-31 14:00:00+00:00,LOF Only,0.6022211086826069,Spring,27.58888888888889,27.28888888888889,0.4,3.912300000000001,156.0,4.347,1012.91
2013-11-26 22:00:00+00:00,Both Anomaly,0.5990142635442824,Autumn,1.1333333333333329,-5.383333333333334,0.15,34.293000000000006,20.0,16.1,1021.51
2007-03-19 07:00:00+00:00,Both Anomaly,0.5946243872073506,Spring,10.555555555555555,10.555555555555555,0.63,3.22,110.0,0.0,996.6
2012-02-03 04:00:00+00:00,Both Anomaly,0.5780358673231714,Winter,-12.22222222222222,-20.133333333333336,0.0,17.71,30.0,9.982,1030.0
2008-02-17 13:00:00+00:00,Both Anomaly,0.5746627354367327,Winter,-1.1111111111111112,-1.1111111111111112,0.0,4.4275,12.0,9.982,1043.04
2012-02-10 17:00:00+00:00,Both Anomaly,0.5659635995925674,Winter,-15.0,-15.0,0.0,0.0,0.0,2.5760000000000005,1034.4
2012-02-08 08:00:00+00:00,Both Anomaly,0.563869195991049,Winter,-16.11111111111111,-16.11111111111111,0.0,0.0,0.0,1.7710000000000004,1035.7
2009-12-21 05:00:00+00:00,Both Anomaly,0.5594630598676155,Winter,-13.88888888888889,-23.266666666666666,0.0,22.540000000000003,160.0,9.982,1016.8
2009-12-20 20:00:00+00:00,Both Anomaly,0.5583814798024707,Winter,-15.0,-15.0,0.0,3.22,250.0,9.982,1015.1
2013-03-14 15:00:00+00:00,Both Anomaly,0.5569601779479142,Spring,2.261111111111111,-3.716666666666667,1.0,32.2644,8.0,3.381,988.39
2007-07-24 12:00:00+00:00,Both Anomaly,0.5551069682171996,Summer,38.43888888888889,36.6,0.17,32.3771,242.0,9.982,1003.18
2008-02-16 13:00:00+00:00,Both Anomaly,0.5544728830513682,Winter,-3.761111111111111,-11.97777777777778,0.79,35.613200000000006,11.0,3.4293,1034.98
2012-02-09 22:00:00+00:00,Both Anomaly,0.5493544053363478,Winter,-17.77777777777778,-17.77777777777778,0.0,0.0,0.0,1.449,1030.6
